dId,len,elen,url
"585","135","27","27158534"
"586","98","2","27159017"
"587","128","31","27158335"
"588","181","17","27015387"
"589","4","0","27012337"
"590","163","1","27012637"
"591","122","14","27009720"
"592","193","17","27011971"
"593","76","2","27030999"
"594","217","32","27064652"
"595","90","8","27079225"
"596","121","0","27079084"
"597","101","16","27008703"
"598","132","21","27004119"
"599","126","21","27094812"
"600","142","1","27049648"
"601","143","22","27074565"
"602","208","21","27089158"
"603","113","9","27103435"
"604","112","6","27134370"
"605","194","24","27133533"
"606","13","3","27098895"
"607","144","22","27037477"
"608","214","8","27075206"
"609","143","6","27003063"
"610","148","16","27004032"
"611","79","6","27007725"
"612","127","0","27008548"
"613","6","0","27003479"
"614","179","8","27000848"
"615","98","8","27125231"
"616","70","9","27169015"
"617","127","2","27069728"
"618","143","6","27016219"
"619","174","6","27006203"
"620","171","1","27007236"
"621","115","2","27000132"
"622","165","2","27003836"
"623","111","19","27004938"
"624","16","3","27005064"
"625","2","0","27005408"
"626","49","6","27000612"
"627","115","7","27004166"
"628","167","14","27006345"
"629","173","34","27056567"
"630","123","17","27035250"
"631","146","4","27013113"
"632","112","13","27073031"
"633","115","23","27132813"
"634","117","3","27136722"
"635","155","19","27138112"
"636","131","10","27140631"
"637","119","20","27113065"
"638","54","13","27117614"
"639","103","7","27114085"
"640","26","3","27098333"
"641","198","11","27098324"
"642","154","8","27097691"
"643","161","33","27096803"
"644","142","15","27015016"
"645","109","30","27013830"
"646","77","12","27096800"
"647","81","13","27096797"
"648","139","22","27096781"
"649","103","22","27095974"
"650","69","14","27094260"
